Academic Score,Stream,Technical Skill,Soft Skill,Personality,Interest,Work Style,Career Domain
52.24,Engineering,SQL,Analytical,Extrovert,Data Science,Remote,Data Analyst
72.03,Engineering,Python,Analytical,Ambivert,AI,Hybrid,AI Engineer
61.75,Engineering,C++,Problem Solving,Introvert,Automotive,Hybrid,Automotive Engineer
59.17,Journalism,UI/UX,Communication,Extrovert,Publishing,Office,Content Strategist
93.95,Arts,UI/UX,Creative,Ambivert,Accessibility,Hybrid,Accessibility Designer
71.06,Journalism,Graphics Design,Creative,Introvert,Marketing,Remote,Media Specialist
74.22,Engineering,Networking,Communication,Extrovert,Infrastructure,Office,System Engineer
96.6,Engineering,Web Dev,Analytical,Ambivert,Architecture,Office,Backend Developer
53.04,Arts,Web Dev,Communication,Extrovert,Content Creation,Remote,Content Designer
50.4,Arts,Graphics Design,Communication,Extrovert,Animation,Office,Animator
69.39,Journalism,Web Dev,Communication,Extrovert,SEO,Hybrid,SEO Specialist
54.65,Engineering,Python,Leadership,Extrovert,Automation,Office,Automation Engineer
87,Engineering,Networking,Analytical,Extrovert,Telecom,Office,Telecom Engineer
59.53,Engineering,Power BI,Communication,Introvert,Analytics,Office,BI Developer
95.61,Engineering,Python,Problem Solving,Introvert,MLOps,Office,MLOps Engineer
82.97,MBA,SQL,Analytical,Extrovert,Consulting,Remote,Business Consultant
56.49,MBA,SQL,Leadership,Ambivert,Business Analytics,Remote,Strategy Consultant
64.46,MBA,Power BI,Communication,Introvert,Finance,Hybrid,Finance Manager
89.21,Commerce,Excel,Leadership,Ambivert,Investment,Office,Investment Analyst
88.26,Science,Power BI,Analytical,Introvert,Analytics,Remote,Research Analyst
86.12,Commerce,Tally,Team Work,Extrovert,Accounting,Hybrid,Accountant
66.9,Science,Python,Leadership,Introvert,Research,Remote,Lab Manager
99.77,Commerce,Tally,Team Work,Ambivert,Accounting,Remote,Accountant
98.82,Science,Python,Analytical,Introvert,Bioinformatics,Office,Bioinformatics Analyst
68.4,Engineering,C++,Analytical,Introvert,Embedded Systems,Remote,Embedded Engineer
69.97,MBA,Excel,Communication,Ambivert,Sales,Office,Sales Manager
52.91,Engineering,Python,Problem Solving,Ambivert,ML,Hybrid,ML Engineer
63.03,Engineering,SQL,Team Work,Extrovert,Database,Hybrid,Database Administrator
94.92,Arts,Web Dev,Communication,Ambivert,Content Creation,Hybrid,Content Designer
84.54,Science,Python,Leadership,Introvert,Research,Office,Lab Manager
92.17,Commerce,SQL,Analytical,Ambivert,Banking,Hybrid,Risk Analyst
79.65,Sports,Excel,Team Work,Ambivert,Fitness,Hybrid,Fitness Manager
98.68,Engineering,Networking,Leadership,Extrovert,Cyber Security,Remote,Security Engineer
74.3,Engineering,Power BI,Communication,Introvert,Analytics,Office,BI Developer
94.95,Engineering,Python,Problem Solving,Introvert,NLP,Hybrid,NLP Engineer
80.43,Science,Maths,Creative,Introvert,Physics,Remote,Research Associate
62.34,Sports,Analytics,Problem Solving,Ambivert,Sports Science,Hybrid,Sports Scientist
55.21,Commerce,Power BI,Creative,Ambivert,Marketing Analytics,Hybrid,Marketing Analyst
60.02,Commerce,SQL,Analytical,Ambivert,Banking,Remote,Risk Analyst
98.19,Commerce,Tally,Communication,Introvert,Taxation,Remote,Tax Consultant
58.29,Commerce,Excel,Communication,Ambivert,Insurance,Remote,Insurance Analyst
59.48,Arts,UI/UX,Creative,Introvert,Design,Hybrid,UI UX Designer
80.3,Commerce,Excel,Problem Solving,Ambivert,Audit,Office,Auditor
85.61,Engineering,Python,Leadership,Introvert,Automation,Hybrid,Automation Engineer
87.41,Engineering,Networking,Analytical,Extrovert,Telecom,Office,Telecom Engineer
63.1,Commerce,SQL,Analytical,Extrovert,FinTech,Remote,FinTech Analyst
57.38,Arts,Graphics Design,Leadership,Ambivert,Branding,Hybrid,Brand Designer
57.96,Engineering,Python,Creative,Ambivert,Computer Vision,Remote,CV Engineer
80.11,Engineering,Python,Leadership,Ambivert,Automation,Office,Automation Engineer
72.51,Engineering,Python,Leadership,Ambivert,Automation,Office,Automation Engineer
66.43,Engineering,C++,Problem Solving,Extrovert,Robotics,Hybrid,Robotics Engineer
74.75,Sports,Communication,Team Work,Introvert,Athletics,Remote,Trainer
61.65,Arts,Web Dev,Communication,Introvert,Content Creation,Office,Content Designer
99.31,Arts,Web Dev,Creative,Introvert,Creative Tech,Office,Creative Technologist
90.97,Arts,UI/UX,Creative,Ambivert,Accessibility,Remote,Accessibility Designer
89.26,Arts,Graphics Design,Creative,Ambivert,Illustration,Hybrid,Illustrator
68.97,Engineering,Python,Problem Solving,Ambivert,DevOps,Remote,DevOps Engineer
65.3,Sports,Analytics,Leadership,Extrovert,Sports Tech,Remote,Sports Technology Analyst
55.21,Engineering,Python,Creative,Introvert,Generative AI,Remote,GenAI Specialist
52.73,Engineering,Python,Analytical,Introvert,AI,Hybrid,Data Scientist
58.08,Journalism,UI/UX,Communication,Introvert,Publishing,Hybrid,Content Strategist
98.56,Science,Python,Problem Solving,Introvert,ML,Hybrid,AI Researcher
78.44,Science,Python,Leadership,Extrovert,Research,Remote,Lab Manager
59.02,Engineering,SQL,Analytical,Ambivert,Big Data,Office,Data Engineer
77.34,Journalism,UI/UX,Communication,Introvert,Publishing,Office,Content Strategist
90.65,MBA,Power BI,Analytical,Introvert,Business Intelligence,Remote,BI Manager
85.67,MBA,SQL,Analytical,Ambivert,Product,Remote,Product Manager
51.01,Journalism,Web Dev,Leadership,Introvert,News,Hybrid,Editor
80.31,Commerce,Excel,Analytical,Ambivert,Finance,Remote,Financial Analyst
56.98,Arts,Graphics Design,Communication,Introvert,Animation,Hybrid,Animator
74.6,Sports,Analytics,Problem Solving,Ambivert,Sports Science,Hybrid,Sports Scientist
70.3,Sports,Analytics,Leadership,Extrovert,Sports Tech,Office,Sports Technology Analyst
89.95,Sports,Excel,Leadership,Ambivert,Sports,Hybrid,Sports Manager
76.88,Arts,Graphics Design,Creative,Extrovert,Illustration,Remote,Illustrator
92.95,Engineering,C++,Problem Solving,Extrovert,Robotics,Office,Robotics Engineer
95.19,Engineering,SQL,Analytical,Extrovert,Business Analytics,Remote,BI Analyst
97.34,Sports,Analytics,Analytical,Extrovert,Sports Analytics,Office,Sports Analyst
53.27,MBA,SQL,Leadership,Extrovert,Business Analytics,Remote,Strategy Consultant
80.7,Arts,Graphics Design,Creative,Introvert,Design,Hybrid,Graphic Designer
96.72,Journalism,Graphics Design,Creative,Ambivert,Advertising,Hybrid,Copywriter
72.62,Engineering,SQL,Analytical,Introvert,Business Analytics,Remote,BI Analyst
67.29,Science,Maths,Creative,Ambivert,Physics,Remote,Research Associate
83.75,MBA,Excel,Leadership,Introvert,Marketing,Hybrid,Marketing Manager
98.79,Engineering,C++,Analytical,Extrovert,Embedded Systems,Hybrid,Embedded Engineer
63.54,Engineering,Python,Problem Solving,Ambivert,DevOps,Hybrid,DevOps Engineer
81.89,Engineering,Python,Creative,Ambivert,Computer Vision,Remote,CV Engineer
82.28,Commerce,Power BI,Communication,Extrovert,Analytics,Office,Business Analyst
78.02,Engineering,Web Dev,Analytical,Ambivert,Architecture,Hybrid,Backend Developer
97.5,Engineering,Web Dev,Analytical,Ambivert,Architecture,Office,Backend Developer
96.58,Science,Python,Analytical,Introvert,AI,Hybrid,Research Scientist
52.43,Engineering,Python,Analytical,Ambivert,AI,Hybrid,Data Scientist
89.72,Commerce,Excel,Problem Solving,Introvert,Audit,Hybrid,Auditor
70.77,Engineering,Python,Analytical,Extrovert,Automation,Office,RPA Developer
95.75,Commerce,Excel,Analytical,Ambivert,Finance,Remote,Financial Analyst
55.98,Engineering,Python,Analytical,Ambivert,AI,Remote,Prompt Engineer
92.34,MBA,Excel,Problem Solving,Ambivert,Supply Chain,Remote,Supply Chain Manager
78.26,MBA,SQL,Analytical,Introvert,Consulting,Hybrid,Business Consultant
65.48,Arts,UI/UX,Problem Solving,Extrovert,Product Design,Office,Product Designer
58.59,MBA,Excel,Problem Solving,Ambivert,Supply Chain,Remote,Supply Chain Manager
55.97,Sports,Excel,Leadership,Ambivert,Event Management,Remote,Sports Event Manager
64.03,Sports,Communication,Team Work,Introvert,Athletics,Office,Trainer
93.37,Engineering,Networking,Communication,Extrovert,Infrastructure,Office,System Engineer
79.3,MBA,Excel,Leadership,Extrovert,HR,Hybrid,HR Manager
65.19,Arts,UI/UX,Creative,Extrovert,Design,Remote,UI UX Designer
69.45,Commerce,SQL,Analytical,Ambivert,Banking,Remote,Risk Analyst
53.85,Science,Maths,Creative,Introvert,Physics,Hybrid,Research Associate
74.63,Journalism,Graphics Design,Creative,Extrovert,Marketing,Remote,Media Specialist
82.94,Commerce,Power BI,Analytical,Ambivert,Business Intelligence,Hybrid,BI Consultant
83.3,MBA,Power BI,Communication,Ambivert,Digital Marketing,Hybrid,Digital Marketing Manager
53.86,MBA,Excel,Problem Solving,Extrovert,Supply Chain,Hybrid,Supply Chain Manager
61.81,Arts,Graphics Design,Creative,Introvert,Illustration,Remote,Illustrator
57.57,Science,Python,Analytical,Ambivert,Quantum Computing,Hybrid,Quantum Researcher
76.15,Arts,Web Dev,Communication,Introvert,Media,Remote,Media Designer
61.78,Sports,Analytics,Communication,Extrovert,Performance,Hybrid,Performance Analyst
92.73,Journalism,Graphics Design,Creative,Introvert,Advertising,Office,Creative Director
81.4,Journalism,UI/UX,Creative,Extrovert,Storytelling,Hybrid,Content Creator
74.31,Commerce,Tally,Team Work,Ambivert,Accounting,Office,Accountant
73.24,Science,Maths,Problem Solving,Ambivert,Actuarial Science,Office,Actuary
62.72,Arts,Graphics Design,Creative,Extrovert,Gaming,Remote,Game Artist
77.77,Engineering,Web Dev,Analytical,Extrovert,Architecture,Remote,Backend Developer
55.75,MBA,Excel,Leadership,Introvert,Marketing,Office,Marketing Manager
